Date,Open,High,Low,Close,Adj Close,Volume
2023-12-01,146.0,147.25,145.5500030517578,147.02999877929688,147.02999877929688,39924600
2023-12-04,145.25,145.35000610351562,142.80999755859375,144.83999633789062,144.83999633789062,48294200
2023-12-05,143.5500030517578,148.57000732421875,143.1300048828125,146.8800048828125,146.8800048828125,46822400
2023-12-06,147.5800018310547,147.85000610351562,144.27999877929688,144.52000427246094,144.52000427246094,39679000
2023-12-07,146.14999389648438,147.9199981689453,145.33999633789062,146.8800048828125,146.8800048828125,52352800
2023-12-08,145.47999572753906,147.83999633789062,145.39999389648438,147.4199981689453,147.4199981689453,41858000
2023-12-11,145.66000366210938,146.19000244140625,143.63999938964844,145.88999938964844,145.88999938964844,50907300
2023-12-12,145.52000427246094,147.5,145.3000030517578,147.47999572753906,147.47999572753906,44944300
2023-12-13,148.1199951171875,149.4600067138672,146.82000732421875,148.83999633789062,148.83999633789062,52766200
2023-12-14,149.92999267578125,150.5399932861328,145.52000427246094,147.4199981689453,147.4199981689453,58400800
2023-12-15,148.3800048828125,150.57000732421875,147.8800048828125,149.97000122070312,149.97000122070312,110039100
2023-12-18,150.55999755859375,154.85000610351562,150.0500030517578,154.07000732421875,154.07000732421875,62512800
2023-12-19,154.39999389648438,155.1199951171875,152.69000244140625,153.7899932861328,153.7899932861328,43171300
2023-12-20,152.89999389648438,155.6300048828125,151.55999755859375,152.1199951171875,152.1199951171875,50322100
2023-12-21,153.3000030517578,153.97000122070312,152.10000610351562,153.83999633789062,153.83999633789062,36305700
2023-12-22,153.77000427246094,154.35000610351562,152.7100067138672,153.4199981689453,153.4199981689453,29480100
2023-12-26,153.55999755859375,153.97999572753906,153.02999877929688,153.41000366210938,153.41000366210938,25067200
2023-12-27,153.55999755859375,154.77999877929688,153.1199951171875,153.33999633789062,153.33999633789062,31434700
2023-12-28,153.72000122070312,154.0800018310547,152.9499969482422,153.3800048828125,153.3800048828125,27057000
2023-12-29,153.10000610351562,153.88999938964844,151.02999877929688,151.94000244140625,151.94000244140625,39789000
